iso3,year,tau_tamar,tau_mitchell,rgdp,gdp_deflator,cpi_gmd,unemployment_rate_pct,imports,exports,customs_revenue,ind_prod,ind_prod_base
DEU,1972,2.4806201550387597,2.4806201550387597,1372546.0,35.85716,33.04819,0.9,129000.0,149000.0,3200.0,,
DEU,1973,2.206896551724138,2.206896551724138,1438119.0,38.11599,35.37215,1.0,145000.0,178000.0,3200.0,,
DEU,1974,1.8333333333333333,1.8333333333333333,1450919.0,40.88903,37.8434,2.2,180000.0,231000.0,3300.0,,
DEU,1975,1.7934782608695652,1.7934782608695652,1438343.0,43.20607,40.08007,4.1,184000.0,222000.0,3300.0,,
DEU,1976,1.6666666666666667,1.6666666666666667,1509531.0,44.63454,41.78212,4.1,222000.0,257000.0,3700.0,,
DEU,1977,1.574468085106383,1.574468085106383,1560058.0,46.01853,43.34233,4.0,235000.0,274000.0,3700.0,,
DEU,1978,1.5163934426229508,1.5163934426229508,1606992.0,47.65027,44.52068,3.8,244000.0,285000.0,3700.0,,
DEU,1979,1.404109589041096,1.404109589041096,1673688.0,49.68882,46.32093,3.3,292000.0,314000.0,4100.0,,
DEU,1980,1.348973607038123,1.348973607038123,1697268.0,52.39746,48.84128,3.359,341000.0,350000.0,4600.0,,
DEU,1981,1.3279132791327914,1.3279132791327912,1706250.0,54.58517,51.93989,4.831,369000.0,397000.0,4900.0,,
DEU,1982,1.25,1.25,1699513.0,57.08575,54.66208,6.734,376000.0,428000.0,4700.0,,
DEU,1983,1.548740350877193,1.205128205128205,1726237.0,58.68868,56.46233,8.099,390000.0,432000.0,4700.0,,
DEU,1984,1.5078089533417403,1.2211981566820276,1774967.0,59.85609,57.82069,8.058,434000.0,488000.0,5300.0,,
DEU,1985,1.2895492114362823,1.1637931034482758,1816288.0,61.12786,59.01541,8.124,464000.0,537000.0,5400.0,,
DEU,1986,1.3808315212253002,1.2560386473429952,1857832.0,62.96142,58.93903,7.834,414000.0,526000.0,5200.0,,
DEU,1987,1.4680873716877538,1.3414634146341464,1883882.0,63.76712,59.08633,7.843,410000.0,527000.0,5500.0,,
