year,deflator,nGDP,rGDP
1391,0.1747151,5.747482,3289.631
1392,0.1480155,5.449575,3681.76
1393,0.1406489,4.257398,3026.969
1394,0.1412017,4.669891,3307.248
1395,0.1471553,4.634334,3149.281
1396,0.1439136,4.536343,3152.129
1397,0.1541232,4.726713,3066.841
1398,0.1631345,5.328211,3266.146
1399,0.1583549,4.939922,3119.526
1400,0.1637871,4.941541,3017.052
1401,0.1737366,5.170305,2975.944
1402,0.1740518,5.313789,3052.993
1403,0.1833611,5.68503,3100.457
1404,0.1617861,5.09809,3151.129
1405,0.1636782,5.162516,3154.064
1406,0.1622789,4.743524,2923.07
1407,0.1541032,4.507316,2924.868
1408,0.1663054,4.497194,2704.177
1409,0.186775,5.22327,2796.557
1410,0.1886337,5.601662,2969.599
1411,0.1820798,5.292018,2906.427
1412,0.1580024,4.48318,2837.413
1413,0.1630937,4.192732,2570.751
1414,0.158304,4.621807,2919.577
1415,0.1683708,5.026364,2985.293
1416,0.1723283,4.958008,2877.071
1417,0.1783966,5.607556,3143.308
1418,0.1635304,4.874643,2980.879
1419,0.1714992,5.380947,3137.593
1420,0.1595409,4.880626,3059.17
1421,0.1739378,4.966063,2855.08
1422,0.1557106,4.588796,2947.002
1423,0.1584922,4.92639,3108.286
1424,0.1611758,5.046574,3131.1
1425,0.1583119,4.783303,3021.441
1426,0.1810857,5.303183,2928.549
1427,0.1742971,4.968255,2850.452
1428,0.1810878,4.843347,2674.585
1429,0.2034128,5.62467,2765.151
1430,0.1974855,5.61599,2843.748
1431,0.1509424,4.310184,2855.516
1432,0.1600192,4.50861,2817.543
1433,0.17679,5.12458,2898.682
1434,0.1656758,5.085063,3069.285
1435,0.1569468,4.276333,2724.703
1436,0.1554755,3.943359,2536.322
1437,0.1544664,3.75645,2431.888
1438,0.1909477,4.870779,2550.844
1439,0.2128858,5.666749,2661.873
1440,0.1734323,4.655938,2684.585
1441,0.1419329,3.365702,2371.333
1442,0.1482773,3.637034,2452.86
1443,0.1465652,4.345644,2964.992
1444,0.1422731,4.209073,2958.445
1445,0.1426768,3.637991,2549.813
1446,0.1548574,4.195917,2709.536
1447,0.1682735,4.665353,2772.482
1448,0.1630792,4.668242,2862.561
1449,0.1614873,4.237487,2624.037
1450,0.1521577,4.11232,2702.669
1451,0.1470252,3.991776,2715.028
1452,0.1474693,3.962477,2686.984
1453,0.1465932,3.982151,2716.463
1454,0.1470815,4.007569,2724.727
1455,0.1412541,3.828089,2710.073
1456,0.1551486,4.260493,2746.073
1457,0.1444848,3.637886,2517.832
1458,0.152494,4.074338,2671.801
1459,0.1514419,3.992605,2636.395
1460,0.1572346,4.155084,2642.601
1461,0.1600585,4.255992,2659.023
1462,0.1679615,4.894257,2913.915
1463,0.1398357,4.133585,2956.031
1464,0.1410435,3.811369,2702.264
1465,0.1525678,4.011151,2629.094
1466,0.1521737,3.978931,2614.73
1467,0.1654829,4.469644,2700.97
1468,0.1584614,4.476232,2824.809
1469,0.1581605,4.417035,2792.755
1470,0.1737001,4.723295,2719.224
1471,0.1745526,4.54669,2604.768
1472,0.1522209,4.105516,2697.078
1473,0.1473411,3.949592,2680.577
1474,0.1580155,4.469533,2828.541
1475,0.1390826,3.825247,2750.341
1476,0.1580135,4.038546,2555.823
1477,0.1495924,4.007306,2678.816
1478,0.1654449,4.565492,2759.523
1479,0.1616197,4.723375,2922.524
1480,0.1541405,4.642825,3012.073
1481,0.1625065,4.685865,2883.495
1482,0.1701817,4.701305,2762.521
1483,0.1752208,5.084964,2902.032
1484,0.162673,4.683822,2879.287
1485,0.156661,4.271013,2726.276
1486,0.1512018,4.575955,3026.389
1487,0.1574259,4.362436,2771.105
1488,0.1523349,4.316693,2833.687
1489,0.1528414,4.436121,2902.435
1490,0.1536109,4.493663,2925.354
1491,0.161428,4.769253,2954.415
1492,0.1767939,5.294476,2994.717
1493,0.1788517,5.2777,2950.88
1494,0.1554485,4.811449,3095.204
1495,0.1570604,4.773619,3039.352
1496,0.1472323,4.341541,2948.77
1497,0.165601,5.217199,3150.464
1498,0.1589059,5.063355,3186.385
1499,0.1566216,5.017727,3203.725
1500,0.1501082,4.736251,3155.225
1501,0.1622957,4.942359,3045.28
1502,0.1644159,5.191292,3157.416
1503,0.1599946,5.272005,3295.114
1504,0.1579867,5.223918,3306.556
1505,0.1548615,5.178144,3343.726
1506,0.1536464,5.163184,3360.433
1507,0.1539813,5.082693,3300.85
1508,0.1501008,5.026101,3348.483
1509,0.1480673,5.19145,3506.141
1510,0.1454018,4.919509,3383.389
1511,0.1441419,4.978019,3453.554
1512,0.1537826,5.076584,3301.144
1513,0.1760509,6.067156,3446.25
1514,0.1617888,5.566787,3440.774
1515,0.1589754,5.620867,3535.684
1516,0.1711681,6.000546,3505.646
1517,0.1536458,5.403743,3517.013
1518,0.1615873,5.715567,3537.138
1519,0.1659677,5.819577,3506.452
1520,0.1894118,6.550124,3458.138
1521,0.1917949,6.791078,3540.802
1522,0.1781823,6.42287,3604.661
1523,0.1800261,6.657499,3698.075
1524,0.1711804,6.462151,3775.054
1525,0.1651925,6.238482,3776.493
1526,0.1588354,6.073833,3823.98
1527,0.1779986,6.358459,3572.196
1528,0.2440322,8.850205,3626.655
1529,0.194784,7.216191,3704.714
1530,0.1990242,7.510715,3773.77
1531,0.1872811,6.870231,3668.406
1532,0.1927371,7.360456,3818.91
1533,0.1996029,7.629875,3822.527
1534,0.1857073,7.462007,4018.154
1535,0.1941016,7.306372,3764.2
1536,0.2042795,7.647254,3743.525
1537,0.203956,8.272869,4056.202
1538,0.1801458,6.959649,3863.341
1539,0.1721648,7.217304,4192.09
1540,0.1746822,7.119718,4075.811
1541,0.1980584,7.843636,3960.264
1542,0.1931002,7.992474,4139.03
1543,0.2101319,8.432454,4012.934
1544,0.2299249,9.806613,4265.138
1545,0.2285362,9.43092,4126.664
1546,0.2586271,10.81706,4182.494
1547,0.1952557,8.823435,4518.914
1548,0.1982765,8.66606,4370.694
1549,0.2451061,10.34097,4218.977
1550,0.2979487,12.5571,4214.516
1551,0.34191,14.18223,4147.943
1552,0.2923606,11.63343,3979.136
1553,0.2681435,12.53071,4673.137
1554,0.2645316,11.31755,4278.336
1555,0.3069579,13.09043,4264.567
1556,0.3687113,12.93836,3509.077
1557,0.4134288,15.86357,3837.073
1558,0.2934881,14.29901,4872.091
1559,0.2954813,13.19773,4466.52
1560,0.3275213,14.60142,4458.159
1561,0.3478108,15.83933,4554.007
1562,0.3446817,15.72629,4562.556
1563,0.3521401,17.61668,5002.746
1564,0.3552661,17.18334,4836.751
1565,0.3210512,15.68264,4884.779
1566,0.3319203,18.27093,5504.613
1567,0.3350174,17.41304,5197.653
1568,0.3382219,17.73125,5242.491
1569,0.3379565,17.69447,5235.724
1570,0.3350872,16.18864,4831.172
1571,0.3159685,15.32841,4851.246
1572,0.3469383,16.38208,4721.9
1573,0.3720433,20.1886,5426.412
1574,0.4081908,19.66291,4817.088
1575,0.3604834,19.4684,5400.637
1576,0.3677588,20.62933,5609.473
1577,0.3767232,18.08224,4799.874
1578,0.3676918,20.28747,5517.522
1579,0.3512625,19.20538,5467.529
1580,0.3745895,19.53669,5215.494
1581,0.4038331,20.46427,5067.506
1582,0.3933787,17.97661,4569.796
1583,0.3970126,20.70243,5214.552
1584,0.3861144,19.59809,5075.721
1585,0.3972954,17.76705,4471.999
1586,0.4389538,19.2904,4394.63
1587,0.4264529,20.84813,4888.73
1588,0.3945435,21.63806,5484.329
1589,0.4072362,19.67814,4832.121
1590,0.4435618,22.93008,5169.534
1591,0.4543639,23.66953,5209.376
1592,0.419048,23.6009,5632.027
1593,0.4285415,25.55027,5962.147
1594,0.4579323,22.35605,4881.956
1595,0.5132874,25.34771,4938.307
1596,0.5471638,25.81931,4718.753
1597,0.5959895,26.83235,4502.151
1598,0.530752,28.2969,5331.473
1599,0.4699987,28.81942,6131.808
1600,0.4884913,28.66634,5868.341
1601,0.4876857,28.61299,5867.097
1602,0.4938196,30.55275,6187.025
1603,0.4634781,30.43715,6567.118
1604,0.4819545,33.74009,7000.681
1605,0.4922335,31.06431,6310.889
1606,0.520837,34.67898,6658.317
1607,0.5157622,31.49881,6107.235
1608,0.5810078,33.87138,5829.763
1609,0.5754877,39.02053,6780.428
1610,0.5359372,38.59691,7201.759
1611,0.5311637,35.23599,6633.735
1612,0.5600106,35.59246,6355.677
1613,0.5784367,35.54595,6145.176
1614,0.5859125,34.72455,5926.577
1615,0.5619081,36.27572,6455.811
1616,0.5710304,34.91014,6113.535
1617,0.5782716,39.02743,6748.979
1618,0.581171,39.25353,6754.213
1619,0.5532943,34.40023,6217.349
1620,0.5244052,38.2075,7285.874
1621,0.531804,38.99619,7332.812
1622,0.5913568,38.07895,6439.251
1623,0.5782015,37.15471,6425.911
1624,0.564581,40.96509,7255.839
1625,0.5864708,42.89331,7313.802
1626,0.5899762,41.00219,6949.803
1627,0.564469,39.5745,7010.925
1628,0.559959,45.02037,8039.94
1629,0.5926096,35.56524,6001.463
1630,0.6588157,39.02764,5923.908
1631,0.7005728,42.2317,6028.167
1632,0.65482,44.91302,6858.835
1633,0.6452104,41.76915,6473.725
1634,0.6703095,44.45888,6632.59
1635,0.6594253,45.45304,6892.827
1636,0.6354694,41.63311,6551.552
1637,0.687251,44.44666,6467.311
1638,0.6973075,49.332,7074.641
1639,0.6560877,47.26834,7204.577
1640,0.6067784,44.87579,7395.746
1641,0.6501929,42.18759,6488.472
1642,0.6121964,43.84945,7162.644
1643,0.6359808,48.75944,7666.81
1644,0.6456872,49.59797,7681.425
1645,0.6468737,43.25103,6686.163
1646,0.664804,44.71618,6726.219
1647,0.7833064,53.22609,6795.054
1648,0.8148485,56.02024,6874.927
1649,0.8370765,56.60712,6762.478
1650,0.7870961,51.00466,6480.105
1651,0.7633931,52.20321,6838.313
1652,0.7152791,55.93882,7820.558
1653,0.7031585,61.33932,8723.398
1654,0.6606874,56.35991,8530.496
1655,0.6598634,59.55192,9024.887
1656,0.6916917,57.71346,8343.813
1657,0.6960036,54.70425,7859.766
1658,0.7367476,56.26511,7636.959
1659,0.7484552,47.90517,6400.54
1660,0.7327788,51.16354,6982.126
1661,0.7754393,55.6012,7170.284
1662,0.7755024,56.65495,7305.58
1663,0.7226028,61.72125,8541.519
1664,0.7248419,58.61844,8087.066
1665,0.7162302,59.732,8339.777
1666,0.6892956,64.91068,9416.958
1667,0.6927326,65.52896,9459.488
1668,0.6731977,57.3507,8519.147
1669,0.7139434,62.34975,8733.149
1670,0.6918664,58.6202,8472.763
1671,0.6895155,56.21112,8152.263
1672,0.6981165,56.30565,8065.366
1673,0.7258477,60.06714,8275.447
1674,0.7567658,59.79015,7900.747
1675,0.7407271,60.05309,8107.317
1676,0.6773132,64.89119,9580.677
1677,0.7082344,62.95192,8888.572
1678,0.7035315,65.02612,9242.816
1679,0.7125213,61.30015,8603.273
1680,0.6932107,66.73171,9626.47
1681,0.7269958,62.78652,8636.436
1682,0.7220482,64.97368,8998.523
1683,0.7068112,68.5843,9703.341
1684,0.7200907,58.43919,8115.531
1685,0.7430943,66.30544,8922.884
1686,0.6965011,57.6825,8281.753
1687,0.6751713,61.50873,9110.093
1688,0.6647541,64.70432,9733.572
1689,0.6831584,64.90655,9500.951
1690,0.6671706,67.66763,10142.48
1691,0.6655563,68.64954,10314.61
1692,0.7215036,80.49635,11156.75
1693,0.7691334,73.00803,9492.246
1694,0.7641873,86.16166,11274.94
1695,0.7509892,81.00237,10786.09
1696,0.8030311,82.94672,10329.2
1697,0.8236713,84.47215,10255.57
1698,0.8526537,89.99163,10554.3
1699,0.8068937,82.10664,10175.65
1700,0.7802715,84.36308,10812.02
1701,0.7425179,87.48764,11782.56
1702,0.7440612,85.4046,11478.17
1703,0.7368355,79.15549,10742.63
1704,0.7492247,95.81979,12789.19
1705,0.7378893,89.57068,12138.77
1706,0.7194006,73.94788,10279.1
1707,0.7033998,81.23853,11549.41
1708,0.728615,89.57068,12293.28
1709,0.7921338,84.36308,10650.11
1710,0.8175249,79.15549,9682.333
1711,0.7596817,80.19701,10556.66
1712,0.7405987,78.11397,10547.41
1713,0.7635431,77.07244,10094.05
1714,0.7691072,85.4046,11104.38
1715,0.7430748,80.19701,10792.59
1716,0.7439023,83.32156,11200.61
1717,0.756987,89.57068,11832.53
1718,0.7498624,93.73676,12500.53
1719,0.7378647,90.6122,12280.33
1720,0.7654095,99.98587,13063.06
1721,0.7301186,91.65372,12553.26
1722,0.7141893,90.6122,12687.42
1723,0.7317452,90.6122,12383.03
1724,0.7306495,89.57068,12259.05
1725,0.7451743,93.73676,12579.17
1726,0.760384,92.69524,12190.58
1727,0.7478374,90.6122,12116.56
1728,0.7924011,98.94435,12486.65
1729,0.7772045,91.65372,11792.74
1730,0.7252619,87.48764,12062.9
1731,0.7194718,85.4046,11870.46
1732,0.6993011,88.52916,12659.66
1733,0.7002487,90.6122,12940.0
1734,0.702761,90.6122,12893.74
1735,0.7198588,90.6122,12587.5
1736,0.7085751,95.81979,13522.89
1737,0.6998053,89.57068,12799.37
1738,0.6949814,90.6122,13038.08
1739,0.6996484,90.6122,12951.1
1740,0.7524909,95.81979,12733.68
1741,0.7629239,99.98587,13105.62
1742,0.7457606,99.98587,13407.23
1743,0.7319104,95.81979,13091.74
1744,0.7261605,93.73676,12908.55
1745,0.7076437,92.69524,13099.14
1746,0.7323822,98.94435,13509.93
1747,0.7225543,102.0689,14126.12
1748,0.7303998,102.0689,13974.39
1749,0.7422265,103.1104,13892.04
1750,0.7390429,104.152,14092.82
1751,0.7402509,102.0689,13788.42
1752,0.7630957,110.4011,14467.53
1753,0.7492366,109.3596,14596.13
1754,0.7414681,105.1935,14187.19
1755,0.7268162,106.235,14616.49
1756,0.7610557,109.3596,14369.45
1757,0.8155831,123.9408,15196.59
1758,0.8111278,124.9823,15408.47
1759,0.7585917,118.7332,15651.8
1760,0.763018,122.8993,16107.0
1761,0.7462448,124.9823,16748.17
1762,0.7612201,123.9408,16281.87
1763,0.8021992,130.1899,16229.13
1764,0.8089858,131.2315,16221.73
1765,0.8155912,131.2315,16090.35
1766,0.8240175,134.356,16305.0
1767,0.8500713,139.5636,16417.87
1768,0.8234757,136.4391,16568.68
1769,0.7913289,138.5221,17505.0
1770,0.795209,135.3975,17026.66
1771,0.8346599,144.7712,17344.93
1772,0.8627075,145.8127,16901.76
1773,0.8596904,147.8958,17203.38
1774,0.8730755,146.8542,16820.34
1775,0.8820392,153.1034,17357.89
1776,0.8659756,155.1864,17920.41
1777,0.8868307,163.5186,18438.53
1778,0.8873712,162.4771,18309.93
1779,0.8612801,157.2695,18259.97
1780,0.856406,163.5186,19093.58
1781,0.9652733,189.5565,19637.61
1782,0.9696085,188.515,19442.39
1783,0.9476944,183.3074,19342.46
1784,0.9118102,177.0583,19418.33
1785,0.9181974,177.0583,19283.25
1786,0.9661381,189.5565,19620.03
1787,0.9608996,185.3905,19293.43
1788,0.9306072,179.1414,19249.94
1789,0.9155556,180.1829,19680.17
1790,0.9394853,198.9302,21174.38
1791,0.9452752,201.0133,21265.05
1792,0.9982455,220.8021,22119.02
1793,0.9907397,215.5945,21760.97
1794,0.9991804,210.3869,21055.95
1795,1.097601,256.2138,23343.08
1796,1.130838,268.712,23762.2
1797,1.143503,269.7536,23590.11
1798,1.189469,283.2933,23816.79
1799,1.278344,312.4559,24442.23
1800,1.381439,354.1166,25633.9
1801,1.477859,382.2377,25864.28
1802,1.265737,331.2032,26166.82
1803,1.276444,327.0371,25620.95
1804,1.358924,347.8675,25598.74
1805,1.400137,380.1546,27151.24
1806,1.420953,384.3207,27046.7
1807,1.427786,411.4002,28813.85
1808,1.46334,402.0266,27473.22
1809,1.551031,439.5212,28337.37
1810,1.605592,484.3066,30163.73
1811,1.552535,463.4762,29852.86
1812,1.644594,470.7668,28625.11
1813,1.677228,506.1785,30179.46
1814,1.641028,484.3066,29512.38
1815,1.527435,498.8878,32661.8
1816,1.433426,443.6873,30952.94
1817,1.462649,460.3516,31473.83
1818,1.52038,478.0575,31443.3
1819,1.444643,446.8119,30928.88
1820,1.354851,453.061,33439.91
1821,1.277058,434.3136,34008.91
1822,1.192801,413.4832,34664.89
1823,1.211257,432.2306,35684.47
1824,1.234155,464.5177,37638.51
1825,1.334107,513.4691,38487.86
1826,1.234908,449.9364,36434.81
1827,1.19443,468.6838,39239.13
1828,1.19078,468.6838,39359.41
1829,1.141401,453.061,39693.41
1830,1.132642,469.7253,41471.66
1831,1.081922,462.4347,42741.98
1832,1.073859,461.3932,42965.88
1833,1.040393,452.0195,43446.99
1834,1.068089,480.1405,44953.23
1835,1.063969,507.22,47672.43
1836,1.124007,549.9223,48925.17
1837,1.103637,535.3411,48506.97
1838,1.107974,563.462,50855.15
1839,1.128476,586.3755,51961.7
1840,1.081742,564.5036,52184.68
1841,1.065088,540.5486,50751.53
1842,1.019005,512.4276,50287.07
1843,0.9847317,513.4691,52143.05
1844,0.9929722,555.1299,55905.88
1845,1.008745,591.5831,58645.43
1846,0.9984088,609.2889,61026.0
1847,1.063036,639.493,60157.23
1848,0.9762138,607.2059,62200.09
1849,0.9708079,615.538,63404.72
1850,0.9048527,566.5866,62616.44
1851,0.8927651,585.334,65564.16
1852,0.8975875,607.2059,67648.66
1853,0.979694,685.3198,69952.44
1854,1.03082,745.728,72343.18
1855,1.038908,747.811,71980.51
1856,1.042299,788.4303,75643.41
1857,1.027163,780.0981,75946.88
1858,0.9782682,740.5204,75697.07
1859,1.00815,795.7209,78928.83
1860,1.010598,813.4268,80489.66
1861,1.035057,848.8384,82008.86
1862,1.043258,850.9214,81563.84
1863,1.079385,927.9939,85974.32
1864,1.123117,979.0284,87170.62
1865,1.096181,996.7342,90927.91
1866,1.119507,1030.063,92010.4
1867,1.10397,1017.565,92173.23
1868,1.07401,1029.021,95811.16
1869,1.073607,1056.101,98369.38
1870,1.06558,1129.007,105952.4
1871,1.083353,1212.329,111905.2
1872,1.138728,1280.027,112408.5
1873,1.179499,1338.353,113467.9
1874,1.129782,1335.228,118184.6
1875,1.091864,1303.982,119427.2
1876,1.071378,1287.318,120155.3
1877,1.050432,1270.654,120964.9
1878,1.027846,1246.699,121292.4
1879,1.007163,1197.747,118922.9
1880,1.006385,1287.318,127915.1
1881,0.9988004,1308.149,130972.0
1882,1.01192,1347.726,133185.1
1883,0.9864607,1355.017,137361.5
1884,0.9681289,1316.481,135982.0
1885,0.9558187,1288.36,134791.2
1886,0.9575279,1297.733,135529.5
1887,0.9558778,1350.851,141320.5
1888,0.9598216,1400.844,145948.3
1889,0.9792627,1476.875,150815.0
1890,0.9934246,1512.286,152229.6
1891,0.9682324,1512.286,156190.4
1892,0.967208,1477.916,152802.3
1893,0.9745843,1477.916,151645.8
1894,0.9800119,1558.113,158989.2
1895,0.9696639,1593.525,164337.9
1896,0.9609616,1647.684,171462.0
1897,0.9727677,1688.303,173556.7
1898,0.980418,1782.04,181763.3
1899,1.002706,1890.358,188525.7
1900,1.04377,1963.264,188093.6
1901,1.029705,1979.929,192281.1
1902,1.019177,1989.302,195187.2
1903,1.016626,1963.264,193115.6
1904,1.00556,1965.347,195448.1
1905,1.010245,2037.212,201655.3
1906,1.024014,2118.451,206877.2
1907,1.039853,2195.523,211137.8
1908,1.03187,2091.371,202677.7
1909,1.028396,2136.156,207717.3
1910,1.042753,2226.769,213547.0
1911,1.048602,2316.339,220897.9
1912,1.07555,2415.284,224562.6
1913,1.073747,2517.353,234445.7
1914,1.0653,2546.515,239042.2
1915,1.210374,3050.611,252038.6
1916,1.387176,3533.876,254753.2
1917,1.727026,4372.299,253169.2
1918,2.011755,5187.809,257874.8
1919,2.344489,5569.005,237535.9
1920,2.758984,6168.92,223593.9
1921,2.509374,5065.951,201881.1
1922,2.164865,4602.475,212598.7
1923,2.006458,4392.088,218897.6
1924,1.966457,4507.696,229229.4
1925,1.961501,4654.551,237295.4
1926,1.953088,4489.991,229891.8
1927,1.917945,4748.288,247571.7
1928,1.900972,4748.288,249782.0
1929,1.885535,4844.107,256908.9
1930,1.869604,4764.952,254864.2
1931,1.833708,4456.662,243040.9
1932,1.792626,4359.801,243207.5
1933,1.7685,4437.915,250942.2
1934,1.753922,4663.924,265914.0
1935,1.767285,4873.27,275749.0
1936,1.782384,5149.272,288898.1
1937,1.841937,5507.555,299008.8
1938,1.88513,5680.447,301329.3
1939,1.937106,6093.931,314589.4
1940,2.133307,7377.083,345805.1
1941,2.358349,8865.414,375916.1
1942,2.531833,9688.215,382656.2
1943,2.642393,10285.0,389230.8
1944,2.780813,10347.5,372103.3
1945,2.828428,10043.37,355086.8
1946,2.909938,10078.78,346357.4
1947,3.177518,10865.13,341937.7
1948,3.372754,11903.53,352931.9
1949,3.476846,12677.38,364622.9
1950,3.521956,13271.04,376808.9
1951,3.784251,14789.24,390810.1
1952,4.022294,15955.21,396669.5
1953,4.086688,17111.06,418702.4
1954,4.144097,18107.0,436934.7
1955,4.29879,19538.15,454503.5
1956,4.547417,21017.88,462193.8
1957,4.707548,22185.88,471283.1
1958,4.842701,23130.2,477630.1
1959,4.920818,24506.7,498020.8
1960,4.948156,26201.0,529510.4
1961,5.13516,27918.0,543663.7
1962,5.320383,29235.0,549490.6
1963,5.398889,31099.0,576025.9
1964,5.59168,34047.0,608886.8
1965,5.92318,36828.0,621760.6
1966,6.239086,39394.0,631406.6
1967,6.423118,41673.0,648797.1
1968,6.693307,45795.0,684190.9
1969,7.136518,49761.0,697272.8
1970,7.825638,56041.0,716120.6
1971,8.472795,62870.0,742022.0
1972,9.114168,70578.0,774376.8
1973,9.91746,81793.0,824737.4
1974,11.52429,92673.0,804153.4
1975,14.53144,115093.0,792027.7
1976,16.79078,136999.0,815918.1
1977,19.11332,159786.0,835992.8
1978,21.37225,186158.0,871026.6
1979,24.45828,220981.0,903501.6
1980,29.37582,259970.0,884979.6
1981,33.01647,290180.0,878894.6
1982,35.65833,319558.0,896166.4
1983,37.63755,351347.0,933501.1
1984,39.60472,377920.0,954229.7
1985,41.74559,414630.0,993230.6
1986,43.60915,446600.0,1024097.0
1987,46.0176,496809.0,1079606.0
1988,48.8448,555683.0,1137650.0
1989,52.75893,614631.0,1164980.0
1990,57.25913,670797.0,1171511.0
1991,61.11263,705884.0,1155054.0
1992,63.12126,730874.0,1157889.0
1993,65.01875,769855.0,1184051.0
1994,66.21859,810794.0,1224421.0
1995,67.94973,851845.0,1253640.0
1996,70.76102,909993.0,1286009.0
1997,70.65712,953405.0,1349340.0
1998,71.56412,998501.0,1395254.0
1999,72.55231,1043248.0,1437925.0
2000,73.36613,1100752.0,1500355.0
2001,74.47487,1146135.0,1538955.0
2002,76.05302,1191439.0,1566590.0
2003,77.86845,1258334.0,1615974.0
2004,79.88418,1322637.0,1655693.0
2005,82.23399,1398749.0,1700938.0
2006,84.53033,1472038.0,1741432.0
